experiment,filename,n_peptides,alpha,alpha_se,C,log_C,r_squared,condition
190722,190722d1 memory CD69 Pos.csv,6,2.271197883853895,0.36963861314176616,1.0867476726281487e-05,-4.963871281218409,0.9041992631609681,memory
190807,190807d1 memory CD69 Pos.csv,5,1.8584428376705204,0.3003142573239769,3.154365370066554e-05,-4.501088003773902,0.9273526667662113,memory
190812,190812d4 memory CD69 Pos.csv,6,1.818102849417638,0.25663632670163966,8.089521693208619e-05,-4.09207715603187,0.9261830354877805,memory
191019,191019d1 memory CD69 Pos.csv,6,2.067510213148873,0.19754217378033653,1.0153045983185898e-05,-4.993403646889962,0.9647703548196129,memory
191022,191022d1 memory CD69 Pos.csv,6,1.9044779366570619,0.14603780434908525,1.3378295598615179e-05,-4.873599212372834,0.9770204078658568,memory
191027,191027d1 memory CD69 Pos.csv,7,1.8755091519872,0.3751422620151086,3.8768206447452834e-05,-4.41152429050664,0.8333033914627719,memory
190708,190708d3 naive CD69 Pos.csv,4,1.030989899749819,0.27565203632612933,0.0005082906113394752,-3.2938879120976416,0.874913940710548,naive
190715,190715d1 naive CD69 Pos.csv,7,2.2394606856173933,0.8535458312028842,4.753590318809802e-06,-5.322978250026225,0.5792619391031756,naive
190715,190715d2 naive CD69 Pos.csv,5,1.4469615795116848,0.5146023284690707,0.00032270561230863333,-3.4911934815329553,0.7249283435859987,naive
190715,190715d4 naive CD69 Pos.csv,6,1.5068679970106147,0.4257999766376163,0.00012640289857764864,-3.8982429670200522,0.7579262121438832,naive
190807,190807d2 naive CD69 Pos.csv,5,1.0389287428873524,0.1297187166007541,0.0004262385877295392,-3.3703472358057502,0.9553209118060888,naive
190816,190816d8 naive CD69 Pos.csv,7,1.1460154083960092,0.4091376209502914,0.00011545836753549143,-3.9375745872785797,0.6107703751879063,naive
